feature,importance
ctg_category_None,0.39095183101073755
ctg_category_category_i_normal_reassuring,0.32069311994750854
cervical_dilatation_at_admission,0.18153188840747284
total_number_of_cs,0.022170636370186778
ctg_category_category_ii_suspicious,0.021175978572478604
fetus_number_single,0.020359001768542447
fetus_number_twin,0.014947962771750714
estimated_fetal_weight_by_gm,0.006046528599502856
rupture_duration_hour_still_intact,0.005212391635972481
bmi,0.004545727221239774
age,0.003413768374932984
parity,0.003209101208704691
fetus_number_triplete,0.0015564625510776694
rupture_duration_hour_None,0.001101677351755818
presentation_cephlic,0.00046922815980785865
presentation_None,0.00037676479430799506
gdm,0.0003532295242476277
rupture_duration_hour_12_18_hours,0.0003152230655898621
rupture_duration_hour_18_24_hours,0.00024256049503126845
rupture_duration_hour_less_than_6_hours,0.00023396001901666784
diabetes_any,0.00019121306359442823
rupture_duration_hour_more_than_24_hours_prolonged_rupture,0.00018235788140021124
history_preeclampsia,0.00017645763940514966
rupture_duration_hour_6_12_hours,0.0001763022923004977
chronic_hypertension,0.00015765264845822227
severe_anemia,9.49617561846688e-05
fetus_number_None,8.847339930584706e-05
multiple_gestation,2.5539469485861643e-05
non_cephalic,0.0
