feature,importance
num__estimated_fetal_weight_by_gm,0.266279155317738
remainder__preterm_birth_less_37_weeks,0.15766317784024006
remainder__iugr_flag,0.13082875479121697
num__platelets_x10e9l,0.09330865950146622
num__labor_duration_hours,0.09121754116848085
num__hb_g_dl,0.08456786393381929
num__age,0.07168313464179425
num__apgar_score,0.028068066597903014
cat__instrumental_delivery_False,0.005152692758061639
cat__instrumental_delivery_True,0.005068543800187253
cat__ctg_category_category_i_normal_reassuring,0.004419403132612054
cat__membrane_status_intact,0.004301621633174189
cat__ctg_category_category_iii_pathological,0.004160493873055224
cat__rupture_duration_hour_still_intact,0.0037103119481519484
cat__fetus_number_single,0.0034696707005143763
cat__ctg_category_None,0.0034573754848719446
remainder__non_cephalic,0.003358024258933903
cat__ctg_category_category_ii_suspicious,0.0033097667555609805
cat__mode_of_delivery_cs,0.003112313613783439
cat__mode_of_delivery_nvd,0.0029463674554749218
cat__fetus_number_twin,0.0028172387267124243
remainder__ivf_flag,0.0028098021000772418
cat__membrane_status_None,0.002756024771951886
cat__rupture_duration_hour_6_12_hours,0.00231689401572731
remainder__severe_anemia,0.002086231580529757
remainder__grand_multipara,0.0016387950249681293
cat__membrane_status_ruptured_artificial_arm,0.0016286955969664555
cat__rupture_duration_hour_more_than_24_hours_prolonged_rupture,0.0015152435695078613
remainder__placenta_prev_or_abruption,0.001474007803777154
cat__rupture_duration_hour_12_18_hours,0.0014413454735461339
cat__membrane_status_ruptured_spontaneous,0.0014250731267740752
cat__rupture_duration_hour_less_than_6_hours,0.0013268930600919251
cat__placenta_location_covering_cervix,0.001299734543166572
cat__rupture_duration_hour_18_24_hours,0.0012589988921004767
cat__placenta_location_upper,0.0012253964622674473
cat__fetus_number_triplete,0.0010040081662709875
remainder__history_still_neonatal_death,0.0010022595570201326
remainder__congenital_anomalies,0.0007757072666650317
cat__rupture_duration_hour_None,3.7179382935011924e-05
cat__mode_of_delivery_None,2.9808126219958418e-05
cat__placenta_location_None,2.8212519390862896e-05
cat__fetus_number_None,1.9511026292525052e-05
remainder__multiple_gestation,0.0
remainder__chronic_hypertension,0.0
remainder__diabetes_any,0.0
remainder__pre_eclampsia,0.0
