feature,importance
num__estimated_fetal_weight_by_gm,0.25858290367384756
remainder__preterm_birth_less_37_weeks,0.16344999488334172
remainder__iugr_flag,0.13779279832294744
num__platelets_x10e9l,0.0900822738612515
num__labor_duration_hours,0.08796554803480192
num__hb_g_dl,0.07756286967058705
num__age,0.0701888306663693
num__apgar_score,0.025802787923001072
remainder__diabetes_any,0.011970308791185855
cat__instrumental_delivery_False,0.005729673827580018
remainder__pre_eclampsia,0.005261496661224582
remainder__chronic_hypertension,0.0052406195779512235
cat__instrumental_delivery_True,0.00523334638839636
remainder__total_number_of_cs_gt1,0.004226956018084955
cat__ctg_category_category_i_normal_reassuring,0.00419188910840493
remainder__polihydraminos_flag,0.0039107874233251586
cat__ctg_category_category_ii_suspicious,0.003488228139519699
remainder__non_cephalic,0.0034687197322011832
cat__mode_of_delivery_cs,0.0033390521756169996
cat__fetus_number_single,0.003081987382397388
cat__membrane_status_intact,0.003009801445418673
cat__mode_of_delivery_nvd,0.00293535450226621
cat__fetus_number_twin,0.0026616351952213047
remainder__ivf_flag,0.002646800942349004
cat__rupture_duration_hour_still_intact,0.002534606243129569
remainder__grand_multipara,0.0018802628467900313
cat__membrane_status_None,0.001716995275307501
cat__rupture_duration_hour_6_12_hours,0.001663702914319034
cat__ctg_category_None,0.0015604069537843441
cat__rupture_duration_hour_more_than_24_hours_prolonged_rupture,0.0013128959050444792
cat__membrane_status_ruptured_artificial_arm,0.0011607164665162625
cat__membrane_status_ruptured_spontaneous,0.0009783479829434704
cat__rupture_duration_hour_18_24_hours,0.000976924885217212
cat__rupture_duration_hour_12_18_hours,0.0009687359859826499
cat__rupture_duration_hour_less_than_6_hours,0.0009190403502895604
remainder__history_still_neonatal_death,0.0009164401519576259
cat__fetus_number_triplete,0.000855301075609528
remainder__congenital_anomalies,0.0006901816801796068
cat__rupture_duration_hour_None,3.377895398368658e-05
cat__mode_of_delivery_None,6.997981654393251e-06
remainder__severe_anemia,0.0
remainder__multiple_gestation,0.0
remainder__placenta_prev_or_abruption,0.0
