feature,importance
num__estimated_fetal_weight_by_gm,0.1388802255758869
num__labor_duration_hours,0.13580314484820205
num__platelets_x10e9l,0.13251827225091356
num__bmi,0.1304532111389927
num__hb_g_dl,0.12271475591215783
num__age,0.1031888423451291
num__parity,0.04498692844222127
cat__mode_of_delivery_cs,0.02230379673590145
num__total_number_of_cs,0.01893883977491243
cat__mode_of_delivery_nvd,0.016695474338395286
cat__perineum_integrity_None,0.015748947998643053
cat__type_of_cs_None,0.01316063681730487
cat__type_of_cs_elective,0.009124716925735958
cat__type_of_cs_emergency,0.008208712182520117
cat__instrumental_delivery_False,0.007708262716515101
cat__type_of_labor_None,0.007395984862940538
remainder__history_pph,0.007312584700750822
remainder__obstructed_prolonged,0.007180590996058197
cat__type_of_labor_no_labour_pain,0.006616070365202153
cat__instrumental_delivery_True,0.0063845200629238045
remainder__history_transfusion,0.005804703708024446
cat__perineum_integrity_intact,0.005680767935687022
cat__perineum_integrity_1st_2nd_tear,0.004792260275469756
remainder__severe_anemia,0.003527551113809707
remainder__placenta_prev_or_abruption,0.00315455973369362
remainder__polihydraminos_flag,0.0027516357263886893
cat__perineum_integrity_episotomy,0.002670943303321924
remainder__grand_multipara,0.0023888165079851737
cat__rupture_duration_hour_still_intact,0.0021118279893413265
cat__placenta_location_covering_cervix,0.0019271449473575613
cat__placenta_location_upper,0.00182183212936898
cat__type_of_labor_iol,0.0016199147904581602
cat__rupture_duration_hour_less_than_6_hours,0.0013250751410670894
cat__rupture_duration_hour_6_12_hours,0.001194022214549488
cat__rupture_duration_hour_12_18_hours,0.0011077145486445973
cat__rupture_duration_hour_18_24_hours,0.000993871373991185
cat__rupture_duration_hour_more_than_24_hours_prolonged_rupture,0.000967384658435134
remainder__placenta_abruption_flag,0.0006248022801141738
cat__rupture_duration_hour_None,8.174900892412078e-05
cat__placenta_location_None,7.627026320345404e-05
cat__mode_of_delivery_None,5.263335885717391e-05
remainder__multiple_gestation,0.0
